Page Name	Categories	Subcategories	Tags	Discription	UPC list	Part # list	Extra Info list	color
"5 1/4"" All Brass Nose Mount with Diverter"	Tub Spout	Diverter	Front Diverter, nose mount, All Brass	All brass tub spout with front diverter nose mount   	10165	TS154	 - - - - - - - - - - - - - - - -,Chrome	
"5 1/4"" All Brass Rear Mount with Diverter"	Tub Spout	Diverter	Rear Diverter, Rear Mount, All Brass	All brass tub spout rear diverter and mount 	10180	TS156	 - - - - - - - - - - - - - - - -,Chrome	
"5 1/4"" All Brass Nose Mount 1/2 IPS "	Tub Spout	Filler	"1/2"" IPS, nose mount, All Brass"	"All brass tub spout with nose mount 1/2"" IPS   "	10166	TS157	 - - - - - - - - - - - - - - - -,Chrome	
"8 1/2"" All Brass Rear Mount"	Tub Spout	Filler	"1/2"" IPS, 3/4"" IPS, Rear Mount, All Brass, No Diverter"	"All brass 8.5"" Long Tub Spout with Rear Mount    "	10168,10179,10223	TS187,TS187PBRPVD,TS187SNPVD	 - - - - - - - - - - - - - - - -,Chrome, Polished Brass PVD,Satin Nickel PVD	
"8 1/2"" All Brass Rear Mount with Diverter"	Tub Spout	Diverter	"1/2"" IPS, Rear Diverter, 3/4"" IPS, Rear Mount, All Brass"	"Chrome plated all brass 8.5""L Tub Spout with Rear Diverter & Mount  "	10167,10178,10222	TS186,TS186PBRPVD,TS186SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel PVD	
"5 1/4"" 1-4-All"	Tub Spout	Filler	1-4-All Universal Fit, No Diverter, Zinc	Zinc tub Spout with 1-4-All Universal Fit / Adjustable assembly  	10169,10170,14128,14135,10171,14234,80121,80122,80123,80127,80069,80124,80260	TS167,TS167PBR,TS167SN,TS167ORB,TS167W,TS167MB,CTS167,CTS167PBR,CTS167PBRPVD,CTS167SN,CTS167ORB,CTS167W,CTS167MB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,White,Matte Black,Chrome, Carded,Polished Brass, Carded,Polished Brass PVD, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded,White, Carded,Matte Black, Carded	
TS167-MB	Tub Spout, Special	Filler	1-4-All Universal Fit	NEW! Matte Black zinc tub Spout with 1-4-All Universal Fit / Adjustable assembly   	14234,80260	TS167MB,CTS167MB	 - - - - - - - - - - - - - - - -,Matte Black,Matte Black, Carded	
"5 1/4"" Telescoping Adjustable Rear Mount  "	Tub Spout	Diverter	"1/2"" IPS, 3/4"" IPS, Rear Mount, Telescoping Adjustable Feature, Zinc"	Zinc tub spout diverter spout rear mount telescoping adjustable feature.  One inch of travel.  	10174,10228	TS174,TS174SP	 - - - - - - - - - - - - - - - -,Chrome,Chrome (Short Adaptor)	
"5 1/4"" 1-4-All with Diverter"	Tub Spout	Diverter	Front Diverter, 1-4-All Universal Fit, Zinc	Zinc tub Spout with front Diverter, and 1-4-All Universal Fit / Adjustable assembly   	10158,10159,14133,14129,14134,10160,14233,80112,80113,80114,80120,80089,80115	TS164,TS164PBR,TS164PBRPVD,TS164SN,TS164ORB,TS164W,TS164MB,CTS164,CTS164PBR,CTS164PBRPVD,CTS164SN,CTS164ORB,CTS164W	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,White,Matte Black,Chrome, Carded,Polished Brass, Carded,Polished Brass PVD, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded,White, Carded	
TS164-MB	Tub Spout, Special	Diverter	1-4-All Universal Fit, Zinc	NEW!  Matte Black zinc tub Spout with front Diverter, and 1-4-All Universal Fit / Adjustable assembly   	14233	TS164MB	 - - - - - - - - - - - - - - - - ,Matte Black	
"5 1/4""  Telescoping Adjustable  Rear Mount"	Tub Spout	Filler	"1/2"" IPS, 3/4"" IPS, Rear Mount, Telescoping Adjustable Feature, Zinc"	Zinc tub spout rear mount with Telescoping Adjustable Feature. One inch of travel   	10177	TS177	 - - - - - - - - - - - - - - - -,Chrome	
"7"" Slip Fit"	Tub Spout	Filler	"Slip Fit 5/8"" OD, Zinc"	"7"" Long zinc tub Spout Slip Fit 5/8"" OD Copper Tube   "	10192	TS122	 - - - - - - - - - - - - - - - -,Chrome	
"7"" Slip Fit Flush Mount"	Tub Spout	Filler	"Slip Fit 5/8"" OD, Flush Mount, Zinc"	"7"" Long zinc tub Spout 5/8"" OD Slip Fit, Flush Mount   "	10218	TS122FM	 - - - - - - - - - - - - - - - -,Chrome	
"7"" Nose Mount 1/2"" IPS"	Tub Spout	Filler	"1/2"" IPS, nose mount, Zinc"	"7"" Long zinc tub spout with 1/2"" IPS nose mount   "	10197,10199,10198,10225,10260,80225,80170,80143,80211	TS127,TS127PBR,TS127PBRPVD,TS127SN,TS127ORB,CTS127,CTS127PBRPVD,CTS127SN,CTS127ORB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,Chrome, Carded,Polished Brass PVD , Carded,Satin Nickel, Carded,C-TS127-ORB, Carded	
"7"" 1-4-All"	Tub Spout	Filler	1-4-All Universal Fit, Zinc	"7"" Long Zinc Tub Spout, 1-4-ALL Universal Fit    "	14123,14125,10226,14127,80213	TS117,TS117PVD,TS117SN,TS117ORB,CTS117ORB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Oil Rubbed Bronze, Carded	
"7"" Slip Fit with Diverter"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Zinc"	"7"" Long zinc tub spout with front diverter slip fit 5/8""OD copper tube   "	10193	TS123	 - - - - - - - - - - - - - - - -,Chrome	
"7"" Flush Mount Slip Fit with Diverter"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Flush Mount, Zinc"	"7"" Long zinc tub Spout 5/8"" OD Flush Mount Slip Fit with Front Diverter "	10217	TS123FM	 - - - - - - - - - - - - - - - -,Chrome	
"7"" Nose Mount 1/2"" IPS With Diverter"	Tub Spout	Diverter	"Front Diverter, 1/2"" IPS, nose mount"	"7"" Long Tub spout with front diverter 1/2"" IPS nose mount    "	10194,10196,10195,10224,10259,80224,80169,80142,80210	TS124,TS124PBR,TS124PBRPVD,TS124SN,TS124ORB,CTS124,CTS124PBRPVD,CTS124SN,CTS124ORB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,Chrome, Carded,Polished Brass PVD, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded	
"7"" 1-4-All With Diverter"	Tub Spout	Diverter	Front Diverter, 1-4-All Universal Fit, Zinc	"7"" Long Zinc Tub Spout with Front Diverter1-4-All Universal Fit.  "	14120,14121,14122,10227,14126,80212	TS114,TS114PBR,TS114PBRPVD,TS114SN,TS114ORB,CTS114ORB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,Oil Rubbed Bronze , Carded	
"7"" Slip Fit with Diverter and Shower Connection"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Zinc"	"7"" Long zinc tub Spout 5/8"" OD Slip Fit with front diverter and shower connection   "	10229	TS129	 - - - - - - - - - - - - - - - -,Chrome	
1-4-All Parts	Tub Spout	Parts	1-4-All Universal Fit	A few of the parts in our 1-4-All kit.  These are the only items we sell on their own.  If you are looking for the kits, check out S1400 - 10190 and S1407 - 14107   	20121,20126	TS3412,361010	 - - - - - - - - - - - - - - - -,Reducer Bushing,3/32 Allen Key	
Tub Spout Reducer Bushing	Tub Accessories	Parts	"1/2"" IPS, 3/4"" IPS"	"Tub Spout reducer bushing, 1/2"" x 3/4""   "	20035,20121	TD3412BR,TS3412	 - - - - - - - - - - - - - - - -,Brass,Plastic	
Lift & Turn	Tub Drains	Lift and Turn	"1 1/4"" (Fine Thread), 1 1/2"" (Coarse Thread)"	"All brass Lift and Turn Tub Drain. 1 1/4"" (Fine thread) and 1 1/2"" (Coarse Thread).  Unless otherwise stated unit comes with conversion bushing. "	10185,10201,10200,14054,14306,10188,10189,10213,10209,10186	TD3812,TD2512PBRPVD,TD2512SNPVD,TD2512ORB,TD2512MB,TD2500,TD5000,TD25121SNPVD,TD25005,TD38121	" - - - - - - - - - - - - - - - -,Chrome, Includes Conversion Bushing,Polished Brass PVD, Includes Conversion Bushing,Satin Nickel PVD, Includes Conversion Bushing,Oil Rubbed Bronze, Includes Conversion Bushing,Matte Black, Includes Conversion Bushing,Chrome, 1 1/4"" (Fine thread) No bushing.,Chrome, 1 1/2"" (Coarse Thread), No Bushing,Satin Nickel, Stopper with 3/8"" thread,Post, converts stoppers to 1/4"" thread,Rubber Seat Washer"	
TD2512-MB	Tub Drains, Special	Lift and Turn	"1 1/4"" (Fine Thread), 1 1/2"" (Coarse Thread)"	"NEW! Matte Black all brass Lift and Turn Tub Drain. 1 1/4"" (Fine thread) and 1 1/2"" (Coarse Thread).  "	14306	TD2512MB	 - - - - - - - - - - - - - - - -,Matte Black, Includes Conversion Bushing	
Push & Lock	Tub Drains	Push & Lock	"1 1/4"" (Fine Thread), 1 1/2"" (Coarse Thread)"	"All brass body Push & Lock Tub Drain, fine 1 1/4"" thread, or coarse 1 1/2"" thread "	10184,10191,10239,10204,10235,10275,10214,10186	TD2505,TD5005,TD5005SN,TD25051,TD25051SNPVD,TD25401,TD25055,TD38121	" - - - - - - - - - - - - - - - -,Chrome, Fine 1 1/4"" Thread,Chrome, coarse 1 1/2"" Threads,Satin Nickel, coarse 1 1/2"" Threads,Chrome Stopper, with 3/8"" thread,Satin Nickel PVD, Stopper with 3/8"" thread,Wide stopper, duel threaded post fits 3/8"" and 1/4"",Post, converts stoppers to 1/4"" thread,Rubber Seat Washer"	
Rotating Swivel Stopper	Tub Drains	Various Items	"1 1/4"" (Fine Thread), 1 1/2"" (Coarse Thread)"	"Chrome plated brass body Rotating Swivel Tub Drain 1-1/4"" Fine Thread & 1-1/2"" Coarse Thread Brass Bushing    "	10205	TD6812	 - - - - - - - - - - - - - - - -,Chrome	
Tip-Toe Clicker	Tub Drains	Various Items	"1 1/4"" (Fine Thread), 1 1/2"" (Coarse Thread)"	"Chrome platted brass tub drain with plastic tip-toe stopper.  Includes Conversion Bushing 1 1/4"" (Fine thread) and 1 1/2"" (Coarse Thread) "	10138	TD1500	 - - - - - - - - - - - - - - - -,Tiptoe Tub Drain	
Conversion Kit With Top-Toe Drain	Tub Drains	Various Items	Carded	Conversion kit comes with Tiptoe Tub Drain with conversion bushing, and single hole face plate with hardware, all packaged in blister clamshell with product card. 	80131	CTD2900	 - - - - - - - - - - - - - - - -,Chrome	
Conversion Kit With Lift & Turn Drain	Tub Drains	Lift and Turn	Kit, Convert	Tub drain Lift & Turn Conversion Kit comes with lift and turn tub drain, with conversion bushing, and single hole face plate and hardware, packaged in blister clamshell with product card. 	80128,80129,80130,80136,80248	CTD3000,CTD3000PBRPVD,CTD3000SN,CTD3000ORB,CTD3000MB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,Matte Black	
C-TD3000-MB	Special, Tub Drains	Lift and Turn	Kit, Convert	NEW! Matte Black tub drain Lift & Turn Conversion Kit comes with lift and turn tub drain, with conversion bushing, and single hole face plate and hardware, packaged in blister clamshell with product card. 	80248	CTD3000MB	 - - - - - - - - - - - - - - - -,Matte Black	
Conversion Kit With Lift & Turn Drain	Tub Drains	Lift and Turn	Kit, Carded, Convert	Conversion kit comes with Tub Lift & Turn tub drain with conversion bushing, and two hole face plate and hardware, all packaged in blister clamshell with product card. 	80132,80133,80134,80137,80249	CTD3200,CTD3200PBRPVD,CTD3200SNPVD,CTD3200ORB,CTD3200MB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel PVD,Oil Rubbed Bronze,Matte Black	
C-TD3200-MB	Tub Drains, Special	Lift and Turn	Kit, Carded, Convert	NEW! Matte Black conversion kit comes with Tub Lift & Turn tub drain with conversion bushing, and two hole face plate and hardware, all packaged in blister clamshell with product card. 	80249	CTD3200MB	 - - - - - - - - - - - - - - - -,Matte Black	
Conversion Kit With Push & Lock Drain	Tub Drains	Push & Lock	Kit, Carded, Convert	"Conversion kit comes with Push & Lock tub drain with conversion bushing, and single hole face plate and hardware, all packaged in blister clamshell with product card. 

"	80135	CTD4000	 - - - - - - - - - - - - - - - -,Chrome	
Stopper with Dual threaded Post	Tub Drains	Parts	Stopper	"Brass Tub Drain Stopper with rubber flapper seal.  Dual threaded post, fits 3/8"" and 1/4"" drains.  "	10275,80200	TD25401,CTD25401	 - - - - - - - - - - - - - - - -,Stopper,Chrome , Carded	
Lift & Turn Thread Converter Post	Tub Drains	Parts		"Post, for lift and turn drains. Converts stoppers to from 3/8"" to 1/4"" thread, for TD-2500 Series Tub Stopper   "	10209	TD25005	" - - - - - - - - - - - - - - - -,Lift & Turn post with 1/4"" thread"	
Push & Lock Thread Converter Post	Tub Drains	Parts		"Post, for push and lock drains. Converts stoppers to from 3/8"" to 1/4"" thread, for TD2505-1 Tub Stoppers   "	10214	TD25055	" - - - - - - - - - - - - - - - -,Push & Lock post with 1/4"" thread"	
"Tub Drain 1 1/4"" - 1 1/2"" Converter Bushing"	Tub Drains	Parts		"Brass Bushing converts tub drain from, 1-1/4"" fine thread to 1-1/2"" coarse thread.   "	10187	TD1000	" - - - - - - - - - - - - - - - -,1-1/4"" fine, to 1-1/2"" coarse"	
"Tub Drain 1 1/2"" - 2"" Converter Bushing"	Tub Drains	Parts		"Brass Bushing converts tub drain from, 1 1/2"" coarse thread to 2"" fine thread.   "	14020	TD2000	" - - - - - - - - - - - - - - - -,1 1/2"" coarse thread to 2"" fine thread"	
Feather Edged Stopper Seal	Tub Drains	Washer		Rubber, feather edged stopper seal washer, for TD-1500   	20024	TD15001	 - - - - - - - - - - - - - - - -,Stopper Washer	
Seat Washer	Tub Drains	Parts		Rubber Seat Washer   	10186	TD38121	 - - - - - - - - - - - - - - - -,Seat Washer  	
Faceplate 2 Holes Square Lever	Tub Accessories	Overflow Faceplate		Tub Overflow Faceplate with 2 holes and square design trip lever (includes 2 color matching screws)   	10139,80060	FP140,CFP140	 - - - - - - - - - - - - - - - -,Chrome,Chrome , Carded	
Faceplate 2 Holes with Trip Lever	Tub Accessories	Overflow Faceplate	2 Holes	Tub Overflow Faceplate with 2 holes & trip lever (includes 2 screws for easy installation)   	10110,10111,10208,10112,10125,10141,10126,10140,80061,80062,80063,80065	FP141,FP141PBR,FP141SN,FP141W,FP141G,FP141WG,FP141BG,FP141CG,CFP141,CFP141PBR,CFP141W,CFP141WG	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,White,Gold,White & Gold,Black & Gold,Chrome & Gold,Chrome , Carded,Polished Brass , Carded,White , Carded,White & Gold , Carded	
Faceplate 2 Holes	Tub Accessories	Overflow Faceplate	2 Holes	Tub Overflow Faceplate with 2 Holes (includes matching screws)    	10154,11150,10202,14055,14302,80070,80071,80072	FP142,FP142PBR,FP142SN,FP142ORB,FP142MB,CFP142,CFP142PBR,CFP142SN	  - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Matte Black,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded	
FP142-MB	Tub Accessories, Special	Overflow Faceplate	2 Holes	NEW! Matte Black Tub Overflow Faceplate with 2 Holes (includes matching screws)    	14302	FP142MB	  - - - - - - - - - - - - - - - -,Matte Black	
Faceplate 1 Hole	Tub Accessories	Overflow Faceplate	1 hole	Chrome plated Tub Overflow Faceplate with 1 hole (includes matching screw)   	10155,11151,10203,14056,14303,80073,80074,80075	FP143,FP143PBR,FP143SN,FP143ORB,FP143MB,CFP143,CFP143PBR,CFP143SN	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Matte Black,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded	
FP143-MB	Tub Accessories, Special	Overflow Faceplate	1 hole	New Matte Black Tub Overflow Faceplate with 1 hole (includes matching screw)   	14303	FP143MB	 - - - - - - - - - - - - - - - -,Matte Black	
Tub Spout Trim plate with Water Seal	Tub Accessories	Escutcheon		Tub Spout Trim plate / Escutcheon with water seal    	14021,14022,14023,14024,14307,14018,80054,80055,80056,80059,80057	SS150,SS150PBRPVD,SS150SNPVD,SS150ORB,SS150MB,SS130,CSS150,CSS150PBRPVD,CSS150SNPVD,CSS150ORB,CSS130	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel PVD,Oil Rubbed Bronze,Matte Black,Chrome, No water seal,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded,Chrome, No Water Seal, Carded	
SS150-MB	Special, Tub Accessories	Escutcheon		NEW Matte Black tub Spout Trim plate / Escutcheon with water seal    	14307	SS150MB	 - - - - - - - - - - - - - - - -,Matte Black	
Tub Spout Diverter Repair Kit	Tub Accessories	Kit	Front Diverter	Diverter spout repair kit, fits the TS133 and TS134.   	10149,10233,10267,10266,10274	TS100RK,TS100RKPBR,TS100RKSN,TS100RKORB,TS100RK1	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Washer Only	
Faceplate Screws	Tub Accessories	Parts		"Solid brass screws for Tub Overflow Faceplate. fillips head, 1/4-20  
 "	20029,20045,20043,20044,20022,20032	FP1413,FP1413PBR,FP1413SN,FP1413ORB,FP1412,FP1412ORB	" - - - - - - - -  2"" - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze, - - - - - - - - 1 3/4"" - - - - - - - -,Chrome,Polished Brass,Oil Rubbed Bronze"	
Faceplate Conversion Bracket	Tub Accessories	Parts		Aluminum Bracket, converts Bathroom Tub Faceplate from two hole to one hole.   	20030	TD30001	 - - - - - - - - - - - - - - - -,Conversion Bracket	
Tub Spout 1-4-all Kit	Tub Spout, Tub Accessories	Parts, Kit	1-4-All Universal Fit, Kit	1-4-All Universal Tub Spout Attachment Kit.  	10190,14107,80202,80203	S1400,S1407,CS1400,CS1407	" - - - - - - - - - - - - - - - -,Fits 5"" nose mount tub spouts.  TS134, TS137 ,Fits 7"" nose mount tub spouts.  TS124, TS127 ,S1400 packed in a clamshell,S1407 packed in a clamshell"	
Duplex Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Duplex	Chrome Plated all brass duplex strainer assembly   	12163	SA103	- - - - - - - - - - - - - - - -,Chrome	
SS Junior Duo Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Jr Duo	Polished Stainless Steel Junior Duo Strainer Assembly with post gasket and nut   	12164,12165	SA104,SA1041	- - - - - - - - - - - - - - - -,Stainless Steel,Basket only	
SS Duplex Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Duplex, Stainless Steel	Polished Stainless Steel Duplex Strainer Assembly with flange strainer & nuts   	12166	SA106	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Dome Grid Strainer	Kitchen & Accessories	Strainer Assembly	Dome, Stainless Steel	Polished Stainless Steel Drain with dome grid, strainer   	12169	SA109	- - - - - - - - - - - - - - - -,Stainless Steel	
Drain Grid Assembly	Kitchen & Accessories	Strainer Assembly	Flat	All Brass Drain assembly for Kitchen Sink with Strainer Grid   	12167	SA113	- - - - - - - - - - - - - - - -,Chrome	
Kitchen Sink Strainer Assembly	Kitchen & Accessories	Strainer Assembly	Spin and Seal, Stainless Steel	"All Stainless Steel Kitchen Strainer Assembly.  Fits 3 1/2"" to 4"" opening. "	12171,12172	SA151,SA1512	- - - - - - - - - - - - - - - -,Stainless Steel Assembly,For Basket Only	
SS Deep Cup Basket	Kitchen & Accessories	Strainer Assembly	Deep Cup, Stainless Steel	Polished Stainless Steel Kitchen Sink Strainer Assembly with Deep Cup Basket, post, gasket & nuts   	12176	SA160	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Modern Spin & Seal Assembly	Kitchen & Accessories	Strainer Assembly	Spin and Seal, Stainless Steel	Polished Stainless Steel Modern 'Spin & Seal' Kitchen Sink Strainer Assembly   	12178	SA171	- - - - - - - - - - - - - - - -,Stainless Steel	
SS Basket Strainer	Kitchen & Accessories	Strainer Assembly	Basket, Stainless Steel	Stainless Steel Basket Strainer with die cast slip joint nut    	12179	SA172	- - - - - - - - - - - - - - - -,Stainless Steel	
Heavy Industrial Sink Strainer	Kitchen & Accessories	Strainer Assembly	Industrial	Chrome Plated Brass Body Kitchen Sink Strainer with Industrial Heavy Gauge   	12174	SA250	- - - - - - - - - - - - - - - -,Chrome	
"4 1/2"" Strainer Assembly"	Kitchen & Accessories	Strainer Assembly	"4.5""D, Wide"	"Chrome Plated 4-1/2""D All Brass Kitchen Strainer Assembly   "	12180,12181,12182	SA275,SA2751,SA2751B	- - - - - - - - - - - - - - - -,Chrome,Basket only, with Rubber Stopper,Basket only, with Solid Brass Stopper	
Countertop Hose Guide	Kitchen & Accessories	Rinse Spray	Hose Guide	Pull out spray hose Guide Assembly with Stainless Steel Trim    	12153,12155,12154,12191	RS310,RS310W,RS310A,RS340	- - - - - - - - - - - - - - - -,Black,White,Almond,Chrome for RS333	
Countertop Rinse & Spray Heads	Kitchen & Accessories	Rinse Spray	Spray Head	Rinse & Spray heads.   	12190,12152,12160,12150,12158,12151	RS333,RS300W,RS330W,RS300,RS330,RS300A	- - - - - - - - - - - - - - - -,Chrome,White,White, Hose Included,Black,Black, Hose Included,Almond	
Countertop Rinse Spray Hose	Kitchen & Accessories	Rinse Spray	Hose	Kitchen Sink Rinse Spray Hose with Brass Adapter, clear vinyl hose.    	12156	RS320	- - - - - - - - - - - - - - - -,Clear	
Countertop Rinse & Spray Attachment Kit	Kitchen & Accessories	Parts, Hose Connection	Parts	Two Rubber Washers and One Spring Clip for kitchen sink pull out assembly 	12161	RS3202	- - - - - - - - - - - - - - - -,Washers and Kit.	
Facet Pull Out Sprayer	Kitchen & Accessories	Facet Pull Out Sprayer	1.8 GPM, Spray Head	Kitchen Sink Spray Head for Pull Out Facet (1.8 GPM)    	12115,12119,12114,12109,80167,80217	ET53104,ET53104SN,ET53103,ET53101,CET53104,CET53104SN	- - - - - - - - - - - - - - - -,Chrome,Satin Nickel,White,White w Black,Chrome, Carded,Satin Nickel, Carded	
Facet Pull Out Hose	Kitchen & Accessories	Facet Pull Out Sprayer	Hose	Kitchen Sink Pull Out Hose   	12110,12122,12116	ET53102,ET531022,ET53102K	- - - - - - - - - - - - - - - -,Hose only,Hose and Kit,Kit only	
Aerator Display	Kitchen & Accessories	Aerator	1.2 GPM, 2.2 GPM	Countertop Aerator Display, for 9 tubes of 6.   	12078,12102	FA200D1.2,FA200D	- - - - - - - - - - - - - - - -,Chrome, 1.2 GPM,Chrome, 2.2 GPM	
Facet Aerators	Kitchen & Accessories	Aerator	1.5 GPM, 1.2 GPM, 2.2 GPM	"Faucet Aerator,1.2 GPM, Thread Female, 13/16"" x 24""  Various quantities available.  "	12056,12123,20103,12117,20120,12073,12101,12054,20108	FA2201.2,FA200T1.2,FA2201.2BULK,FA2001.2PBRPVD,FA2001.2PBRPVDBULK,FA200T1.5,FA200T2.2,FA2202.2,FA2202.2BULK	- - - - - - - - - - - - - - - -,1.2 GPM.  Chrome, Single,1.2 GPM.  Chrome, Tube of 6,1.2 GPM.  Chrome, Bulk,1.2 GPM.  Polished Brass, Single,1.2 GPM.  Polished Brass, Bulk,1.5 GPM.  Chrome, Tube of 6,2.2 GPM.  Chrome, Tube of 6,2.2 GPM.  Chrome, Single,2.2 GPM.  Chrome, Bulk	
Glass Filler Faucet	Kitchen & Accessories	Drinking faucet		Drinking Water Glass Filler Faucet Spout for commercial / medical use   	14141,14143	BF157,BF159	"- - - - - - - - - - - - - - - -,Chrome. 6"",Chrome, 8"""	
"8"" Glass Filler Faucet"	Kitchen & Accessories	Drinking faucet	"8"""	"8""H Glass filler faucet for drinking water fountain or medical water spout    "	14143	BF159	"- - - - - - - - - - - - - - - -,Chrome. 8"",Chrome, 6"""	
Toilet Lever	Toilet Accessories	Lever		Universal Fit Toilet Tank Lever packaged in clear poly bag. Bulk Options are unpackaged and sold in cases of 100.   	12100,12108,20109,20110,20112	TL8,TL8PBR,TL8S,TL8BULK,TL8PBRBULK	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Chrome, Sleek Design,Chrome (Bulk),Polished Brass (Bulk)	
Faucet Seat Wrenche	Tools	Wrench	Faucet Seat, Step, Tapered	Faucet seat wrenches in different styles, hex and square ends fit most faucet seats.   	12003,12002,12009	SW1016,SW1015,SW1017	 - - - - - - - - - - - - - - - -,Tapered L shape,Stepped L shape,Tapered. Square shaft for use with wrench.	
Adjustable Spud Wrench	Tools	Wrench		Large Adjustable Spud Wrench Steel construction with rubber grip.    	10296	SW109B	 - - - - - - - - - - - - - - - -,Spud Wrench	
Adjustable Basin Wrench	Tools	Wrench	Basin Wrench	"Telescopic Adjustable Basin Wrench (shank adjusts from 10""-17"" and jaw capacity 1.25"" and 2""   "	12004,12024	BW1003,BW1004	 - - - - - - - - - - - - - - - -,1.25 inch jaw capacity ,2 inch jaw capacity 	
Plug Wrench	Tools	Wrench	Plug Wrench	P.O. Plug Wrench.  Malleable Iron keeps P.O. plug and basket, straight and in place during installation.    	12014	PW70	 - - - - - - - - - - - - - - - -,Plug Wrench	
Sillcock Key	Tools	Various Items	Sillcock Key	4-in-1 Hardened steel sillcock key.  Fits most sillcocks.   	12013	SK41	 - - - - - - - - - - - - - - - -,Sillcock Key	
Socket Wrench Set	Tools	Wrench	Socket Wrench, 10 Sizes	"Socket Wrench Set with 10 sizes (21/32"", 27/32"", 29/32"", 31/32"", 1-1/32"", 1-3/32"", 1-5/32"", 1-9/32"", 1-11/32"", 1-7/16"")   "	12010,12018	SW1035,SW10352	" - - - - - - - - - - - - - - - -,10 piece set,Single Bit: 29/32"" & 31/32"" (most popular size)"	
"29/32"" & 31/32"" Socket Wrench Bit"	Tools	Wrench	Socket Wrench	"Socket Wrench 29/32"" & 31/32"" The most popular size socket wrench bit   "	12018	SW10352	" - - - - - - - - - - - - - - - -,Single Bit 29/32"" & 31/32"""	
Strainer Nut Wrench	Tools	Wrench	Strainer Wrench, Nut Wrench	Wrench for strainer nut or spanner   	12015	SW1038	 - - - - - - - - - - - - - - - -,Strainer Nut Wrench	
Strainer Wrench	Tools	Wrench	Strainer Wrench	Strainer Wrench    	12011	SW1040	 - - - - - - - - - - - - - - - -,Strainer Wrench	
Basket and Tub Strainer Wrench	Tools	Wrench		Basket and Tub Strainer Wrench packaged in blister clamshell with product label   	12088,12048	SW1044,SW1044BULK	 - - - - - - - - - - - - - - - -,Packed in clamshell,Bulk Unpackaged	
Socket Wrench	Tools	Wrench	Socket Wrench	"Socket Wrench 21/32"" and 27/32"" (Mini JACO fitting socket wrench)   "	12097	SW1057	" - - - - - - - - - - - - - - - -,21/32"" & 27/32"""	
Strap Wrench	Tools	Wrench	Strap Wrench	Strap Wrench made from reinforced rubber   	12037,12036	SW500,SW510	 - - - - - - - - - - - - - - - -,Large: 8 Inch handle with 5 1/2 inch diameter capacity.,Small: 6 Inch handle, with 3 3/4 diameter capacity	
PVC Pipe Cutter	Tools	Pipe Cutter	PVC	"PVC Pipe Cutter aluminum construction  (cuts 1/2"" to 1-1/4"" OD)   "	12001,12005	CP42,CP421	 - - - - - - - - - - - - - - - -,Pipe Cutters,Replacement Blade	
Heavy Duty Pipe Cutter	Tools	Pipe Cutter	PVC	Professional pipe cutter cuts PVC pipe 3-45m/m aluminum body   	12089	CP45	 - - - - - - - - - - - - - - - -,Pipe Cutter	
